iter,kind,loss
1,val,2.815
10,train,2.657
20,train,2.638
30,train,2.537
40,train,2.487
50,val,2.466
50,train,2.642
60,train,2.488
70,train,2.469
80,train,2.387
90,train,2.589
100,val,2.331
100,train,2.469
110,train,2.466
120,train,2.524
130,train,2.556
140,train,2.497
150,val,2.502
150,train,2.359
160,train,2.765
170,train,2.293
180,train,2.395
190,train,2.389
200,val,2.358
200,train,2.742
210,train,2.32
220,train,2.38
230,train,2.386
240,train,2.505
250,val,2.404
250,train,2.264
260,train,2.517
270,train,2.335
280,train,2.524
290,train,2.294
300,val,2.434
300,train,2.511
310,train,2.438
320,train,2.466
330,train,2.348
340,train,2.485
350,val,2.314
350,train,2.456
360,train,2.304
370,train,2.371
380,train,2.327
390,train,2.613
400,val,2.336
400,train,2.388
410,train,2.34
420,train,2.46
430,train,2.324
440,train,2.359
450,val,2.334
450,train,2.338
460,train,2.529
470,train,2.231
480,train,2.571
490,train,2.155
500,val,2.352
500,train,2.492
510,train,2.487
520,train,2.332
530,train,2.325
540,train,2.394
550,val,2.374
550,train,2.256
560,train,2.153
570,train,2.337
580,train,2.486
590,train,2.368
600,val,2.339
600,train,2.494
610,train,2.09
620,train,2.323
630,train,2.559
640,train,2.209
650,val,2.377
650,train,2.276
660,train,2.393
670,train,2.344
680,train,2.448
690,train,2.495
700,val,2.462
700,train,2.373
710,train,2.254
720,train,2.291
730,train,2.375
740,train,2.388
750,val,2.355
750,train,2.249
760,train,2.249
770,train,2.314
780,train,2.312
790,train,2.328
800,val,2.331
800,train,2.396
810,train,2.359
820,train,2.503
830,train,2.566
840,train,2.354
850,val,2.38
850,train,2.441
860,train,2.418
870,train,2.433
880,train,2.14
890,train,2.369
900,val,2.364
900,train,2.337
910,train,2.385
920,train,2.414
930,train,2.268
940,train,2.722
950,val,2.349
950,train,2.468
960,train,2.301
970,train,2.509
980,train,2.339
990,train,2.321
1000,val,2.271
1000,train,2.436
1010,train,2.448
1020,train,2.36
1030,train,2.255
1040,train,2.47
1050,val,2.416
1050,train,2.074
1060,train,2.382
1070,train,2.523
1080,train,2.49
1090,train,2.261
1100,val,2.439
1100,train,2.458
1110,train,2.398
1120,train,2.381
1130,train,2.384
1140,train,2.305
1150,val,2.306
1150,train,2.375
1160,train,2.372
1170,train,2.373
1180,train,2.394
1190,train,2.43
1200,val,2.364
1200,train,2.312
1210,train,2.647
1220,train,2.397
1230,train,2.491
1240,train,2.347
1250,val,2.319
1250,train,2.236
1260,train,2.303
1270,train,2.315
1280,train,2.413
1290,train,2.358
1300,val,2.366
1300,train,2.449
1310,train,2.417
1320,train,2.355
1330,train,2.307
1340,train,2.311
1350,val,2.336
1350,train,2.249
1360,train,2.46
1370,train,2.422
1380,train,2.505
1390,train,2.395
1400,val,2.438
1400,train,2.359
1410,train,2.486
1420,train,2.16
1430,train,2.22
1440,train,2.249
1450,val,2.246
1450,train,2.461
1460,train,2.276
1470,train,2.359
1480,train,2.359
1490,train,2.101
1500,val,2.353
1500,train,2.495
1510,train,2.312
1520,train,2.478
1530,train,2.39
1540,train,2.472
1550,val,2.332
1550,train,2.323
1560,train,2.331
1570,train,2.328
1580,train,2.156
1590,train,2.375
1600,val,2.334
1600,train,2.42
1610,train,2.536
1620,train,2.276
1630,train,2.405
1640,train,2.403
1650,val,2.417
1650,train,2.481
1660,train,2.36
1670,train,2.328
1680,train,2.337
1690,train,2.396
1700,val,2.43
1700,train,2.406
1710,train,2.311
1720,train,2.322
1730,train,2.353
1740,train,2.549
1750,val,2.336
1750,train,2.499
1760,train,2.355
1770,train,2.335
1780,train,2.361
1790,train,2.395
1800,val,2.354
1800,train,2.328
1810,train,2.356
1820,train,2.349
1830,train,2.438
1840,train,2.212
1850,val,2.318
1850,train,2.361
1860,train,2.249
1870,train,2.321
1880,train,2.479
1890,train,2.248
1900,val,2.314
1900,train,2.35
1910,train,2.304
1920,train,2.426
1930,train,2.325
1940,train,2.213
1950,val,2.445
1950,train,2.399
1960,train,2.408
1970,train,2.21
1980,train,2.332
1990,train,2.258
2000,val,2.441
2000,train,2.122
2010,train,2.417
2020,train,2.344
2030,train,2.325
2040,train,2.211
2050,val,2.362
2050,train,2.344
2060,train,2.248
2070,train,2.336
2080,train,2.332
2090,train,2.223
2100,val,2.346
2100,train,2.152
2110,train,2.355
2120,train,2.32
2130,train,2.168
2140,train,2.474
2150,val,2.347
2150,train,2.393
2160,train,2.337
2170,train,2.277
2180,train,2.348
2190,train,2.415
2200,val,2.386
2200,train,2.304
2210,train,2.28
2220,train,2.27
2230,train,2.455
2240,train,2.322
2250,val,2.268
2250,train,2.476
2260,train,2.384
2270,train,2.242
2280,train,2.386
2290,train,2.504
2300,val,2.321
2300,train,2.308
2310,train,2.21
2320,train,2.218
2330,train,2.332
2340,train,2.22
2350,val,2.351
2350,train,2.268
2360,train,2.329
2370,train,2.33
2380,train,2.269
2390,train,2.371
2400,val,2.32
2400,train,2.431
2410,train,2.251
2420,train,2.436
2430,train,2.231
2440,train,2.289
2450,val,2.245
2450,train,2.506
2460,train,2.384
2470,train,2.472
2480,train,2.378
2490,train,2.426
2500,val,2.329
2500,train,2.329
