step,epoch,loss,rewards/chosen,rewards/rejected,rewards/margins,rewards/accuracies,learning_rate
10,0.03333333333333333,2.777182960510254,-0.28842043206095697,-0.2615918070077896,-0.02682861089706421,0.5,1.5e-06
20,0.06666666666666667,2.775071716308594,0.01824463177472353,-0.27020875066518785,0.28845336437225344,0.7,3.1666666666666667e-06
30,0.1,2.7670799255371095,0.8963086321949959,-0.46316163837909696,1.3594702899456024,0.8,4.833333333333333e-06
40,0.13333333333333333,2.750149154663086,2.778596317768097,-0.810615248978138,3.5892115354537966,1.0,4.833333333333333e-06
50,0.16666666666666666,2.7337127685546876,5.989431309700012,-0.7410534903407097,6.730484819412231,1.0,4.648148148148148e-06
60,0.2,2.6984981536865233,11.122075641155243,-1.2661418613046407,12.38821747303009,1.0,4.462962962962963e-06
70,0.23333333333333334,2.6711374282836915,14.89363090991974,-1.9079883500933648,16.801619243621825,1.0,4.277777777777778e-06
80,0.26666666666666666,2.609048080444336,21.74350423812866,-3.0666871786117555,24.810191488265993,1.0,4.092592592592593e-06
90,0.3,2.6034919738769533,28.836798548698425,-1.4273987591266633,30.264197134971617,1.0,3.907407407407408e-06
100,0.3333333333333333,2.5273210525512697,34.71799931526184,-4.798235023021698,39.51623382568359,1.0,3.7222222222222225e-06
110,0.36666666666666664,2.4966854095458983,38.4025942325592,-5.2965272784233095,43.699121713638306,1.0,3.537037037037037e-06
120,0.4,2.4167051315307617,50.67408924102783,-4.460925416648388,55.13501453399658,1.0,3.351851851851852e-06
130,0.43333333333333335,2.386992263793945,61.79143705368042,-3.502599024772644,65.29403495788574,1.0,3.1666666666666667e-06
140,0.4666666666666667,2.3542694091796874,68.28017158508301,-2.7797243118286135,71.05989608764648,1.0,2.9814814814814817e-06
150,0.5,2.319431114196777,66.31867942810058,-8.554673051834106,74.87335319519043,1.0,2.7962962962962963e-06
160,0.5333333333333333,2.345705986022949,65.53166351318359,-4.427856397628784,69.95951995849609,0.9,2.6111111111111113e-06
170,0.5666666666666667,2.2770017623901366,75.4798713684082,-4.510293340682983,79.99016456604004,1.0,2.425925925925926e-06
180,0.6,2.2486881256103515,77.56030082702637,-6.4835597515106205,84.04385948181152,1.0,2.240740740740741e-06
190,0.6333333333333333,2.2108524322509764,80.79753894805908,-7.699437046051026,88.49697647094726,1.0,2.0555555555555555e-06
200,0.6666666666666666,2.24078254699707,76.88172721862793,-10.898547744750976,87.78027458190918,1.0,1.8703703703703705e-06
210,0.7,2.2427688598632813,91.60245513916016,-2.1125245213508608,93.71497955322266,1.0,1.6851851851851852e-06
220,0.7333333333333333,2.2040523529052733,92.4521484375,-4.439589858055115,96.89173851013183,1.0,1.5e-06
230,0.7666666666666667,2.186601257324219,86.12469644546509,-11.139258354902267,97.26395378112792,1.0,1.3148148148148148e-06
240,0.8,2.154366111755371,84.86911678314209,-11.945262813568116,96.81438064575195,1.0,1.1296296296296296e-06
250,0.8333333333333334,2.1975860595703125,89.84643850326538,-8.55776767730713,98.40420608520508,1.0,9.444444444444445e-07
260,0.8666666666666667,2.018635559082031,100.73763885498047,-14.921367883682251,115.6590072631836,1.0,7.592592592592593e-07
270,0.9,2.0902484893798827,95.04382057189942,-10.533515977859498,105.57733535766602,1.0,5.740740740740741e-07
280,0.9333333333333333,2.097871208190918,107.7471794128418,-7.467381691932678,115.21456146240234,1.0,3.8888888888888895e-07
290,0.9666666666666667,2.1546857833862303,92.65693092346191,-13.004180312156677,105.66111221313477,1.0,2.0370370370370374e-07
300,1.0,2.079405975341797,108.4982063293457,-11.378046107292175,119.87625350952149,1.0,1.851851851851852e-08
300,1.0,,,,,,
