step,epoch,loss,reward,reward_std,kl,clip_ratio,learning_rate
5,0.025,2.9802322387695314e-09,0.3,0.4,,,8.000000000000001e-06
10,0.05,0.0,0.35,0.33094010353088377,,,9.111111111111112e-06
15,0.075,2.9802322387695314e-09,0.5,0.3154700517654419,,,8.000000000000001e-06
20,0.1,-2.9802322387695314e-09,0.5,0.3154700517654419,,,6.88888888888889e-06
25,0.125,-5.960464477539063e-09,0.7,0.3154700517654419,,,5.777777777777778e-06
30,0.15,2.9802322387695314e-09,0.25,0.2154700517654419,,,4.666666666666667e-06
35,0.175,2.9802322387695314e-09,0.55,0.4154700517654419,,,3.555555555555556e-06
40,0.2,0.0,0.9,0.1154700517654419,,,2.4444444444444447e-06
45,0.225,-2.9802322387695314e-09,0.25,0.3,,,1.3333333333333334e-06
50,0.25,1.4901161193847657e-09,0.55,0.3,,,2.2222222222222224e-07
50,0.25,,,,,,
