step,epoch,loss,grad_norm,learning_rate
10,0.08,2.001627731323242,1.5515179634094238,4.736842105263158e-06
20,0.16,1.9752231597900392,1.6811267137527466,1e-05
30,0.24,1.903688621520996,1.1524792909622192,1.5263157894736846e-05
40,0.32,1.7625398635864258,1.163051962852478,1.99406528189911e-05
50,0.4,1.6470296859741211,1.677797555923462,1.9347181008902077e-05
60,0.48,1.4469785690307617,1.3435657024383545,1.8753709198813057e-05
70,0.56,1.273899745941162,1.3590402603149414,1.8160237388724037e-05
80,0.64,1.130824375152588,1.3724229335784912,1.7566765578635017e-05
90,0.72,1.0526744842529296,1.328152060508728,1.6973293768545997e-05
100,0.8,1.0644855499267578,1.3860453367233276,1.6379821958456973e-05
110,0.88,0.984088134765625,1.3263225555419922,1.5786350148367956e-05
120,0.96,1.0326068878173829,1.2033699750900269,1.5192878338278933e-05
130,1.04,0.9344366073608399,1.1556023359298706,1.4599406528189913e-05
140,1.12,0.9926329612731933,1.3115102052688599,1.4005934718100891e-05
150,1.2,0.9724507331848145,1.2414109706878662,1.3412462908011869e-05
160,1.28,0.9787777900695801,1.4239758253097534,1.281899109792285e-05
170,1.3599999999999999,0.9566308975219726,1.3550820350646973,1.2225519287833829e-05
180,1.44,0.9399962425231934,1.3868060111999512,1.1632047477744807e-05
190,1.52,0.9437958717346191,1.2314013242721558,1.1038575667655787e-05
200,1.6,0.9496057510375977,1.4886283874511719,1.0445103857566767e-05
210,1.6800000000000002,0.9333341598510743,1.2884293794631958,9.851632047477747e-06
220,1.76,0.9199082374572753,1.3491837978363037,9.258160237388725e-06
230,1.8399999999999999,0.9600648880004883,1.36045503616333,8.664688427299705e-06
240,1.92,0.959541130065918,1.2018665075302124,8.071216617210683e-06
250,2.0,0.896077823638916,1.2864186763763428,7.477744807121662e-06
260,2.08,0.9381685256958008,1.2698230743408203,6.884272997032642e-06
270,2.16,0.9078998565673828,1.2812118530273438,6.29080118694362e-06
280,2.24,0.8946635246276855,1.263721227645874,5.6973293768546e-06
290,2.32,0.9367788314819336,1.3508765697479248,5.103857566765579e-06
300,2.4,0.9192037582397461,1.331498622894287,4.510385756676558e-06
310,2.48,0.8872795104980469,1.3582212924957275,3.916913946587537e-06
320,2.56,0.8848391532897949,1.475667119026184,3.3234421364985163e-06
330,2.64,0.892734432220459,1.4179714918136597,2.729970326409496e-06
340,2.7199999999999998,0.8945921897888184,1.480156660079956,2.136498516320475e-06
350,2.8,0.9021737098693847,1.4241644144058228,1.543026706231454e-06
360,2.88,0.8937384605407714,1.3268321752548218,9.495548961424333e-07
370,2.96,0.9133366584777832,1.5933977365493774,3.560830860534125e-07
375,3.0,,,
