step,epoch,loss,grad_norm,learning_rate
10,0.08,1.9246866226196289,0.5174750089645386,4.736842105263158e-06
20,0.16,2.004943084716797,0.5437459349632263,1e-05
30,0.24,1.9074945449829102,0.5343934893608093,1.5263157894736846e-05
40,0.32,1.9026214599609375,0.5710455179214478,1.99406528189911e-05
50,0.4,1.8378541946411133,0.584492564201355,1.9347181008902077e-05
60,0.48,1.839449691772461,0.49605533480644226,1.8753709198813057e-05
70,0.56,1.7060779571533202,0.5286692976951599,1.8160237388724037e-05
80,0.64,1.749444580078125,0.6459832787513733,1.7566765578635017e-05
90,0.72,1.7599483489990235,0.5623066425323486,1.6973293768545997e-05
100,0.8,1.7923126220703125,0.7514023780822754,1.6379821958456973e-05
110,0.88,1.7034589767456054,0.5714021921157837,1.5786350148367956e-05
120,0.96,1.6414239883422852,0.5887514352798462,1.5192878338278933e-05
130,1.04,1.6634199142456054,0.6048922538757324,1.4599406528189913e-05
140,1.12,1.6636463165283204,0.5952938795089722,1.4005934718100891e-05
150,1.2,1.6126855850219726,0.7592844367027283,1.3412462908011869e-05
160,1.28,1.6720993041992187,0.5844464302062988,1.281899109792285e-05
170,1.3599999999999999,1.6407773971557618,0.6318162083625793,1.2225519287833829e-05
180,1.44,1.6003437042236328,0.6169931888580322,1.1632047477744807e-05
190,1.52,1.6264739990234376,0.6668432950973511,1.1038575667655787e-05
200,1.6,1.6997283935546874,0.6572911143302917,1.0445103857566767e-05
210,1.6800000000000002,1.62664737701416,0.6573415398597717,9.851632047477747e-06
220,1.76,1.565040397644043,0.6038984656333923,9.258160237388725e-06
230,1.8399999999999999,1.5576459884643554,0.7351136207580566,8.664688427299705e-06
240,1.92,1.682598876953125,0.6556440591812134,8.071216617210683e-06
250,2.0,1.6185979843139648,0.7328996062278748,7.477744807121662e-06
260,2.08,1.5664899826049805,0.6663398742675781,6.884272997032642e-06
270,2.16,1.5234844207763671,0.8000528216362,6.29080118694362e-06
280,2.24,1.6545095443725586,0.7279019951820374,5.6973293768546e-06
290,2.32,1.5934776306152343,0.7801923751831055,5.103857566765579e-06
300,2.4,1.5059996604919434,0.696529746055603,4.510385756676558e-06
310,2.48,1.6283668518066405,0.7122855186462402,3.916913946587537e-06
320,2.56,1.6207382202148437,0.7499136328697205,3.3234421364985163e-06
330,2.64,1.6204879760742188,0.6373291611671448,2.729970326409496e-06
340,2.7199999999999998,1.7012153625488282,0.6201754808425903,2.136498516320475e-06
350,2.8,1.6100025177001953,0.874041736125946,1.543026706231454e-06
360,2.88,1.6268924713134765,0.6774711012840271,9.495548961424333e-07
370,2.96,1.6309263229370117,0.7376133799552917,3.560830860534125e-07
375,3.0,,,
