step,epoch,loss,ce,kl,grad_norm,learning_rate
10,0.08,1.5066,1.6219,0.3767,7.285267353057861,4.736842105263158e-06
20,0.16,1.448,1.59,0.362,6.430136203765869,1e-05
30,0.24,1.3383,1.5942,0.3346,5.379906177520752,1.5263157894736846e-05
40,0.32,1.162,1.516,0.2905,5.056863307952881,1.99406528189911e-05
50,0.4,1.0666,1.4843,0.2666,4.766252040863037,1.9347181008902077e-05
60,0.48,0.9894,1.4204,0.2474,4.143156051635742,1.8753709198813057e-05
70,0.56,0.9632,1.3616,0.2408,3.6040923595428467,1.8160237388724037e-05
80,0.64,0.9108,1.3652,0.2277,3.7015061378479004,1.7566765578635017e-05
90,0.72,0.9187,1.4223,0.2297,3.56852126121521,1.6973293768545997e-05
100,0.8,0.9068,1.4286,0.2267,4.106734752655029,1.6379821958456973e-05
110,0.88,0.8864,1.3712,0.2216,4.8259711265563965,1.5786350148367956e-05
120,0.96,0.9085,1.4387,0.2271,4.157259941101074,1.5192878338278933e-05
130,1.04,0.838,1.3664,0.2095,3.7091684341430664,1.4599406528189913e-05
140,1.12,0.862,1.4375,0.2155,3.8925294876098633,1.4005934718100891e-05
150,1.2,0.8678,1.3823,0.217,4.5164971351623535,1.3412462908011869e-05
160,1.28,0.8175,1.4164,0.2044,4.203020095825195,1.281899109792285e-05
170,1.3599999999999999,0.8457,1.4005,0.2114,4.704728603363037,1.2225519287833829e-05
180,1.44,0.836,1.3934,0.209,4.216808319091797,1.1632047477744807e-05
190,1.52,0.809,1.3863,0.2023,4.071619033813477,1.1038575667655787e-05
200,1.6,0.8307,1.403,0.2077,4.282284259796143,1.0445103857566767e-05
210,1.6800000000000002,0.834,1.3952,0.2085,3.832021713256836,9.851632047477747e-06
220,1.76,0.7938,1.3806,0.1985,4.060015678405762,9.258160237388725e-06
230,1.8399999999999999,0.819,1.4299,0.2047,4.5349440574646,8.664688427299705e-06
240,1.92,0.8021,1.3981,0.2005,4.317050457000732,8.071216617210683e-06
250,2.0,0.8255,1.3591,0.2064,4.4933671951293945,7.477744807121662e-06
260,2.08,0.7913,1.3974,0.1978,3.643031597137451,6.884272997032642e-06
270,2.16,0.7929,1.3825,0.1982,4.168308734893799,6.29080118694362e-06
280,2.24,0.775,1.4093,0.1938,4.313216209411621,5.6973293768546e-06
290,2.32,0.774,1.4172,0.1935,4.513306140899658,5.103857566765579e-06
300,2.4,0.8039,1.3789,0.201,4.592188835144043,4.510385756676558e-06
310,2.48,0.8004,1.3686,0.2001,4.807899475097656,3.916913946587537e-06
320,2.56,0.7901,1.3838,0.1975,4.326001167297363,3.3234421364985163e-06
330,2.64,0.7801,1.3527,0.195,4.117990493774414,2.729970326409496e-06
340,2.7199999999999998,0.767,1.391,0.1918,4.397207736968994,2.136498516320475e-06
350,2.8,0.7811,1.3624,0.1953,4.26662540435791,1.543026706231454e-06
360,2.88,0.7809,1.3868,0.1952,4.195342540740967,9.495548961424333e-07
370,2.96,0.7967,1.3883,0.1992,4.7248334884643555,3.560830860534125e-07
375,3.0,0.7359,1.3649,0.184,,
