step,epoch,loss,ce,kl,grad_norm,learning_rate
10,0.08,1.5643,1.622,0.3766,5.918537139892578,4.736842105263158e-06
20,0.16,1.5157,1.5794,0.363,5.423418998718262,1e-05
30,0.24,1.452,1.5461,0.3395,4.626582145690918,1.5263157894736846e-05
40,0.32,1.3135,1.4046,0.3056,4.8857102394104,1.99406528189911e-05
50,0.4,1.2214,1.3121,0.2827,4.79160737991333,1.9347181008902077e-05
60,0.48,1.1396,1.2209,0.2645,3.522352695465088,1.8753709198813057e-05
70,0.56,1.095,1.1559,0.2585,3.275202751159668,1.8160237388724037e-05
80,0.64,1.0611,1.1247,0.2494,3.3249783515930176,1.7566765578635017e-05
90,0.72,1.0796,1.1532,0.2515,3.4307284355163574,1.6973293768545997e-05
100,0.8,1.0785,1.1635,0.2484,3.758247137069702,1.6379821958456973e-05
110,0.88,1.0443,1.1001,0.2471,4.280303955078125,1.5786350148367956e-05
120,0.96,1.077,1.1637,0.2476,3.6736505031585693,1.5192878338278933e-05
130,1.04,0.9965,1.0735,0.2299,3.67903995513916,1.4599406528189913e-05
140,1.12,1.046,1.1264,0.2414,3.8332440853118896,1.4005934718100891e-05
150,1.2,1.02,1.0846,0.2389,3.9510838985443115,1.3412462908011869e-05
160,1.28,1.0109,1.1049,0.2292,3.7643890380859375,1.281899109792285e-05
170,1.3599999999999999,1.0134,1.0921,0.2337,4.315853118896484,1.2225519287833829e-05
180,1.44,1.0053,1.0817,0.2323,3.942997455596924,1.1632047477744807e-05
190,1.52,0.989,1.0664,0.2279,3.634549379348755,1.1038575667655787e-05
200,1.6,1.0063,1.085,0.2319,4.299579620361328,1.0445103857566767e-05
210,1.6800000000000002,1.0009,1.0729,0.2322,3.7509028911590576,9.851632047477747e-06
220,1.76,0.9798,1.0642,0.2238,3.839045286178589,9.258160237388725e-06
230,1.8399999999999999,1.006,1.1047,0.2268,4.345338821411133,8.664688427299705e-06
240,1.92,0.9936,1.0883,0.2247,3.93438720703125,8.071216617210683e-06
250,2.0,0.9769,1.0348,0.2297,4.047399997711182,7.477744807121662e-06
260,2.08,0.9756,1.0679,0.2208,3.6037590503692627,6.884272997032642e-06
270,2.16,0.9671,1.0434,0.2227,3.996392250061035,6.29080118694362e-06
280,2.24,0.965,1.0577,0.2181,4.01706075668335,5.6973293768546e-06
290,2.32,0.9692,1.0626,0.2189,4.1513190269470215,5.103857566765579e-06
300,2.4,0.976,1.0416,0.2276,4.30377197265625,4.510385756676558e-06
310,2.48,0.9615,1.0248,0.2246,4.20695161819458,3.916913946587537e-06
320,2.56,0.9615,1.0375,0.2214,4.2523603439331055,3.3234421364985163e-06
330,2.64,0.9499,1.0212,0.2197,3.9221107959747314,2.729970326409496e-06
340,2.7199999999999998,0.9531,1.0395,0.2167,4.44550085067749,2.136498516320475e-06
350,2.8,0.9569,1.0337,0.22,4.169047832489014,1.543026706231454e-06
360,2.88,0.9584,1.0362,0.2202,4.162373065948486,9.495548961424333e-07
370,2.96,0.9713,1.049,0.2234,4.416077613830566,3.560830860534125e-07
375,3.0,0.9323,1.0172,0.2118,,
