step,epoch,loss,grad_norm,learning_rate
10,0.08,1.209249782562256,0.46521544456481934,4.736842105263158e-06
20,0.16,1.2337483406066894,0.43423256278038025,1e-05
30,0.24,1.213501262664795,0.4931488037109375,1.5263157894736846e-05
40,0.32,1.1938605308532715,0.5309280753135681,1.99406528189911e-05
50,0.4,1.207071876525879,0.5384902954101562,1.9347181008902077e-05
60,0.48,1.1920364379882813,0.47786781191825867,1.8753709198813057e-05
70,0.56,1.1582204818725585,0.5455361604690552,1.8160237388724037e-05
80,0.64,1.1566957473754882,0.5177949666976929,1.7566765578635017e-05
90,0.72,1.1331697463989259,0.5083224177360535,1.6973293768545997e-05
100,0.8,1.1620496749877929,0.5979835987091064,1.6379821958456973e-05
110,0.88,1.118544101715088,0.5799651145935059,1.5786350148367956e-05
120,0.96,1.1482204437255858,0.5775685906410217,1.5192878338278933e-05
130,1.04,1.124775218963623,0.6182023882865906,1.4599406528189913e-05
140,1.12,1.1460881233215332,0.5749439001083374,1.4005934718100891e-05
150,1.2,1.0785818099975586,0.5619890093803406,1.3412462908011869e-05
160,1.28,1.0909299850463867,0.5913031697273254,1.281899109792285e-05
170,1.3599999999999999,1.105830192565918,0.6236178278923035,1.2225519287833829e-05
180,1.44,1.1122525215148926,0.6307801604270935,1.1632047477744807e-05
190,1.52,1.0819595336914063,0.6496074199676514,1.1038575667655787e-05
200,1.6,1.0276192665100097,0.6867886781692505,1.0445103857566767e-05
210,1.6800000000000002,1.0408693313598634,0.671433687210083,9.851632047477747e-06
220,1.76,1.0833091735839844,0.6571270823478699,9.258160237388725e-06
230,1.8399999999999999,1.0941247940063477,0.6934859156608582,8.664688427299705e-06
240,1.92,1.0884833335876465,0.7248148918151855,8.071216617210683e-06
250,2.0,1.082748031616211,0.6549942493438721,7.477744807121662e-06
260,2.08,1.0460391998291017,0.6631172895431519,6.884272997032642e-06
270,2.16,1.019525909423828,0.7124831080436707,6.29080118694362e-06
280,2.24,1.1088655471801758,0.7143300771713257,5.6973293768546e-06
290,2.32,1.0314605712890625,0.7115740776062012,5.103857566765579e-06
300,2.4,1.0436781883239745,0.707061231136322,4.510385756676558e-06
310,2.48,1.0548179626464844,0.7243685126304626,3.916913946587537e-06
320,2.56,1.065828800201416,0.7466378211975098,3.3234421364985163e-06
330,2.64,1.0280538558959962,0.7902482748031616,2.729970326409496e-06
340,2.7199999999999998,1.0087843894958497,0.7520641088485718,2.136498516320475e-06
350,2.8,1.0609997749328612,0.7503896951675415,1.543026706231454e-06
360,2.88,1.079440975189209,0.7393175363540649,9.495548961424333e-07
370,2.96,1.0398147583007813,0.69061678647995,3.560830860534125e-07
375,3.0,,,
