[logits] 加载 teacher /Users/luopeng/.lmstudio/models/lmstudio-community/Qwen3-30B-A3B-Instruct-2507-MLX-4bit (1.0s)
[logits] 总 2000 | 已完成 0 (resume) | todo 2000
[logits] 25/2000 | comp_tok=881 | top1_字母=25/25 (1.00) | top1==gold=23/25 (0.92) | wall=5s
[logits] 50/2000 | comp_tok=1744 | top1_字母=50/50 (1.00) | top1==gold=46/50 (0.92) | wall=9s
[logits] 75/2000 | comp_tok=2737 | top1_字母=75/75 (1.00) | top1==gold=70/75 (0.93) | wall=14s
[logits] 100/2000 | comp_tok=3758 | top1_字母=100/100 (1.00) | top1==gold=93/100 (0.93) | wall=20s
[logits] 125/2000 | comp_tok=4737 | top1_字母=125/125 (1.00) | top1==gold=114/125 (0.91) | wall=26s
[logits] 150/2000 | comp_tok=5617 | top1_字母=150/150 (1.00) | top1==gold=138/150 (0.92) | wall=31s
[logits] 175/2000 | comp_tok=6533 | top1_字母=175/175 (1.00) | top1==gold=160/175 (0.91) | wall=36s
[logits] 200/2000 | comp_tok=7505 | top1_字母=200/200 (1.00) | top1==gold=183/200 (0.92) | wall=41s
[logits] 225/2000 | comp_tok=8527 | top1_字母=225/225 (1.00) | top1==gold=206/225 (0.92) | wall=47s
[logits] 250/2000 | comp_tok=9476 | top1_字母=250/250 (1.00) | top1==gold=226/250 (0.90) | wall=53s
[logits] 275/2000 | comp_tok=10348 | top1_字母=275/275 (1.00) | top1==gold=250/275 (0.91) | wall=58s
[logits] 300/2000 | comp_tok=11251 | top1_字母=300/300 (1.00) | top1==gold=272/300 (0.91) | wall=64s
[logits] 325/2000 | comp_tok=12186 | top1_字母=325/325 (1.00) | top1==gold=294/325 (0.90) | wall=70s
[logits] 350/2000 | comp_tok=13078 | top1_字母=350/350 (1.00) | top1==gold=316/350 (0.90) | wall=76s
[logits] 375/2000 | comp_tok=13939 | top1_字母=375/375 (1.00) | top1==gold=340/375 (0.91) | wall=81s
[logits] 400/2000 | comp_tok=14808 | top1_字母=400/400 (1.00) | top1==gold=364/400 (0.91) | wall=87s
[logits] 425/2000 | comp_tok=15720 | top1_字母=425/425 (1.00) | top1==gold=388/425 (0.91) | wall=93s
[logits] 450/2000 | comp_tok=16694 | top1_字母=450/450 (1.00) | top1==gold=412/450 (0.92) | wall=99s
[logits] 475/2000 | comp_tok=17677 | top1_字母=475/475 (1.00) | top1==gold=435/475 (0.92) | wall=107s
[logits] 500/2000 | comp_tok=18684 | top1_字母=500/500 (1.00) | top1==gold=458/500 (0.92) | wall=117s
[logits] 525/2000 | comp_tok=19708 | top1_字母=525/525 (1.00) | top1==gold=481/525 (0.92) | wall=127s
[logits] 550/2000 | comp_tok=20690 | top1_字母=550/550 (1.00) | top1==gold=503/550 (0.91) | wall=139s
[logits] 575/2000 | comp_tok=21599 | top1_字母=575/575 (1.00) | top1==gold=524/575 (0.91) | wall=157s
[logits] 600/2000 | comp_tok=22542 | top1_字母=600/600 (1.00) | top1==gold=547/600 (0.91) | wall=178s
[logits] 625/2000 | comp_tok=23456 | top1_字母=625/625 (1.00) | top1==gold=570/625 (0.91) | wall=205s
[logits] 650/2000 | comp_tok=24406 | top1_字母=650/650 (1.00) | top1==gold=593/650 (0.91) | wall=288s
[logits] 675/2000 | comp_tok=25313 | top1_字母=675/675 (1.00) | top1==gold=617/675 (0.91) | wall=333s
[logits] 700/2000 | comp_tok=26219 | top1_字母=700/700 (1.00) | top1==gold=641/700 (0.92) | wall=371s
[logits] 725/2000 | comp_tok=27136 | top1_字母=725/725 (1.00) | top1==gold=663/725 (0.91) | wall=402s
[logits] 750/2000 | comp_tok=28151 | top1_字母=750/750 (1.00) | top1==gold=687/750 (0.92) | wall=418s
[logits] 775/2000 | comp_tok=29068 | top1_字母=775/775 (1.00) | top1==gold=710/775 (0.92) | wall=432s
[logits] 800/2000 | comp_tok=29986 | top1_字母=800/800 (1.00) | top1==gold=732/800 (0.92) | wall=445s
[logits] 825/2000 | comp_tok=30932 | top1_字母=825/825 (1.00) | top1==gold=756/825 (0.92) | wall=458s
[logits] 850/2000 | comp_tok=31819 | top1_字母=850/850 (1.00) | top1==gold=778/850 (0.92) | wall=470s
[logits] 875/2000 | comp_tok=32766 | top1_字母=875/875 (1.00) | top1==gold=797/875 (0.91) | wall=487s
[logits] 900/2000 | comp_tok=33786 | top1_字母=900/900 (1.00) | top1==gold=821/900 (0.91) | wall=502s
[logits] 925/2000 | comp_tok=34770 | top1_字母=925/925 (1.00) | top1==gold=843/925 (0.91) | wall=514s
[logits] 950/2000 | comp_tok=35764 | top1_字母=950/950 (1.00) | top1==gold=866/950 (0.91) | wall=524s
[logits] 975/2000 | comp_tok=36721 | top1_字母=975/975 (1.00) | top1==gold=887/975 (0.91) | wall=534s
[logits] 1000/2000 | comp_tok=37683 | top1_字母=1000/1000 (1.00) | top1==gold=909/1000 (0.91) | wall=544s
[logits] 1025/2000 | comp_tok=38749 | top1_字母=1025/1025 (1.00) | top1==gold=930/1025 (0.91) | wall=555s
[logits] 1050/2000 | comp_tok=39621 | top1_字母=1050/1050 (1.00) | top1==gold=952/1050 (0.91) | wall=564s
[logits] 1075/2000 | comp_tok=40642 | top1_字母=1075/1075 (1.00) | top1==gold=975/1075 (0.91) | wall=574s
[logits] 1100/2000 | comp_tok=41567 | top1_字母=1100/1100 (1.00) | top1==gold=996/1100 (0.91) | wall=583s
[logits] 1125/2000 | comp_tok=42528 | top1_字母=1125/1125 (1.00) | top1==gold=1018/1125 (0.90) | wall=592s
[logits] 1150/2000 | comp_tok=43450 | top1_字母=1150/1150 (1.00) | top1==gold=1040/1150 (0.90) | wall=601s
[logits] 1175/2000 | comp_tok=44342 | top1_字母=1175/1175 (1.00) | top1==gold=1062/1175 (0.90) | wall=611s
[logits] 1200/2000 | comp_tok=45298 | top1_字母=1200/1200 (1.00) | top1==gold=1083/1200 (0.90) | wall=622s
[logits] 1225/2000 | comp_tok=46307 | top1_字母=1225/1225 (1.00) | top1==gold=1107/1225 (0.90) | wall=631s
[logits] 1250/2000 | comp_tok=47209 | top1_字母=1250/1250 (1.00) | top1==gold=1129/1250 (0.90) | wall=640s
[logits] 1275/2000 | comp_tok=48173 | top1_字母=1275/1275 (1.00) | top1==gold=1153/1275 (0.90) | wall=649s
[logits] 1300/2000 | comp_tok=49187 | top1_字母=1300/1300 (1.00) | top1==gold=1174/1300 (0.90) | wall=658s
[logits] 1325/2000 | comp_tok=50211 | top1_字母=1325/1325 (1.00) | top1==gold=1198/1325 (0.90) | wall=667s
[logits] 1350/2000 | comp_tok=51067 | top1_字母=1350/1350 (1.00) | top1==gold=1218/1350 (0.90) | wall=676s
[logits] 1375/2000 | comp_tok=52036 | top1_字母=1375/1375 (1.00) | top1==gold=1241/1375 (0.90) | wall=687s
[logits] 1400/2000 | comp_tok=53036 | top1_字母=1400/1400 (1.00) | top1==gold=1259/1400 (0.90) | wall=702s
[logits] 1425/2000 | comp_tok=53967 | top1_字母=1425/1425 (1.00) | top1==gold=1282/1425 (0.90) | wall=715s
[logits] 1450/2000 | comp_tok=55047 | top1_字母=1450/1450 (1.00) | top1==gold=1303/1450 (0.90) | wall=726s
[logits] 1475/2000 | comp_tok=56055 | top1_字母=1475/1475 (1.00) | top1==gold=1327/1475 (0.90) | wall=737s
[logits] 1500/2000 | comp_tok=56951 | top1_字母=1500/1500 (1.00) | top1==gold=1350/1500 (0.90) | wall=747s
[logits] 1525/2000 | comp_tok=57969 | top1_字母=1525/1525 (1.00) | top1==gold=1374/1525 (0.90) | wall=758s
[logits] 1550/2000 | comp_tok=59054 | top1_字母=1550/1550 (1.00) | top1==gold=1397/1550 (0.90) | wall=770s
[logits] 1575/2000 | comp_tok=60038 | top1_字母=1575/1575 (1.00) | top1==gold=1418/1575 (0.90) | wall=781s
[logits] 1600/2000 | comp_tok=60913 | top1_字母=1600/1600 (1.00) | top1==gold=1442/1600 (0.90) | wall=792s
[logits] 1625/2000 | comp_tok=61895 | top1_字母=1625/1625 (1.00) | top1==gold=1466/1625 (0.90) | wall=805s
[logits] 1650/2000 | comp_tok=63043 | top1_字母=1650/1650 (1.00) | top1==gold=1486/1650 (0.90) | wall=820s
[logits] 1675/2000 | comp_tok=63965 | top1_字母=1675/1675 (1.00) | top1==gold=1509/1675 (0.90) | wall=833s
[logits] 1700/2000 | comp_tok=64924 | top1_字母=1700/1700 (1.00) | top1==gold=1532/1700 (0.90) | wall=845s
[logits] 1725/2000 | comp_tok=65889 | top1_字母=1725/1725 (1.00) | top1==gold=1553/1725 (0.90) | wall=859s
